,humidity,temp,timestamp
3961,58.00,18.59,2023-04-29 03:05:03.800914
605,58.00,18.55,2023-04-29 03:10:04.258692
3226,58.00,18.55,2023-04-29 03:15:04.706416
1229,58.00,18.53,2023-04-29 03:20:04.178342
142,58.00,18.60,2023-04-29 03:25:04.590821
1575,58.00,18.53,2023-04-29 03:30:04.028387
1589,58.00,18.62,2023-04-29 03:35:04.465596
1610,58.00,18.46,2023-04-29 03:40:03.929763
2930,58.00,18.55,2023-04-29 03:45:04.368985
3505,58.00,18.55,2023-04-29 03:50:03.775698
2957,58.00,18.53,2023-04-29 03:55:04.199874
3921,58.00,18.57,2023-04-29 04:00:04.610858
1447,58.00,18.60,2023-04-29 04:05:04.046377
2788,58.00,18.47,2023-04-29 04:10:04.503581
2159,58.00,18.60,2023-04-29 04:15:03.935085
769,58.00,18.52,2023-04-29 04:20:04.431662
1476,58.00,18.55,2023-04-29 04:25:03.829311
1377,58.00,18.55,2023-04-29 04:30:04.256862
2588,58.00,18.47,2023-04-29 04:35:04.718510
288,58.00,18.50,2023-04-29 04:40:04.176500
2596,58.00,18.49,2023-04-29 04:45:04.600168
678,58.00,18.47,2023-04-29 04:50:04.022850
1961,58.00,18.46,2023-04-29 04:55:04.428043
1227,58.00,18.52,2023-04-29 05:00:03.858872
4005,58.00,18.60,2023-04-29 05:05:04.309949
3740,58.00,18.53,2023-04-29 05:10:03.751652
2707,58.00,18.53,2023-04-29 05:15:04.193770
3348,58.00,18.52,2023-04-29 05:20:04.696773
3197,58.00,18.49,2023-04-29 05:25:04.160884
665,58.00,18.46,2023-04-29 05:30:04.573689
1361,58.00,18.50,2023-04-29 05:35:04.026440
185,58.00,18.42,2023-04-29 05:40:04.497968
3058,58.00,18.46,2023-04-29 05:45:03.921733
260,58.00,18.50,2023-04-29 05:50:04.307667
838,58.00,18.50,2023-04-29 05:55:03.713431
1848,57.00,18.40,2023-04-29 06:00:04.154508
3988,57.00,18.46,2023-04-29 06:05:04.614491
3986,57.00,18.45,2023-04-29 06:10:04.060710
32,57.00,18.40,2023-04-29 06:15:04.545650
3897,57.00,18.46,2023-04-29 06:20:04.081277
2426,57.00,18.42,2023-04-29 06:25:04.527381
723,57.00,18.42,2023-04-29 06:30:03.960961
2988,57.00,18.46,2023-04-29 06:35:04.410812
2514,57.00,18.56,2023-04-29 06:40:03.869558
48,57.00,18.45,2023-04-29 06:45:04.286824
2025,57.00,18.42,2023-04-29 06:50:03.698030
3912,57.00,18.46,2023-04-29 06:55:04.132536
917,57.00,18.47,2023-04-29 07:00:04.556811
2833,57.00,18.46,2023-04-29 07:05:04.053561
97,57.00,18.55,2023-04-29 07:10:04.608873
3332,57.00,18.49,2023-04-29 07:15:04.051443
2349,57.00,18.49,2023-04-29 07:20:04.518770
1949,57.00,18.45,2023-04-29 07:25:03.935933
1770,57.00,18.52,2023-04-29 07:30:04.358035
3827,57.00,18.55,2023-04-29 07:35:03.803931
760,57.00,18.42,2023-04-29 07:40:04.326865
60,57.00,18.46,2023-04-29 07:45:03.748360
1219,57.00,18.47,2023-04-29 07:50:04.169852
3665,57.00,18.42,2023-04-29 07:55:04.576793
439,57.00,18.55,2023-04-29 08:00:04.041081
1776,57.00,18.46,2023-04-29 08:05:04.472680
3244,57.00,18.56,2023-04-29 08:10:03.925069
2815,57.00,18.53,2023-04-29 08:15:04.324524
2485,57.00,18.50,2023-04-29 08:20:03.817709
4027,57.00,18.52,2023-04-29 08:25:04.267716
2136,57.00,18.47,2023-04-29 08:30:03.628717
960,57.00,18.53,2023-04-29 08:35:04.088637
2952,57.00,18.53,2023-04-29 08:40:04.612730
729,57.00,18.56,2023-04-29 08:45:04.030893
1639,57.00,18.52,2023-04-29 08:50:04.473024
620,57.00,18.49,2023-04-29 08:55:03.931339
1595,57.00,18.53,2023-04-29 09:00:04.378566
3856,57.00,18.53,2023-04-29 09:05:03.809636
461,57.00,18.57,2023-04-29 09:10:04.287646
2181,57.00,18.63,2023-04-29 09:15:03.743003
1394,57.00,18.56,2023-04-29 09:20:04.492015
1455,57.00,18.60,2023-04-29 09:25:03.917641
2564,57.00,18.70,2023-04-29 09:30:04.338848
836,57.00,18.64,2023-04-29 09:35:03.789354
1307,57.00,18.74,2023-04-29 09:40:04.252262
2312,57.00,18.69,2023-04-29 09:45:04.667646
1433,57.00,18.74,2023-04-29 09:50:04.133007
2126,57.00,18.63,2023-04-29 09:55:04.578078
3396,57.00,18.70,2023-04-29 10:00:03.996202
1968,57.00,18.74,2023-04-29 10:05:04.452199
3154,57.00,18.76,2023-04-29 10:10:03.941905
2731,57.00,18.82,2023-04-29 10:15:04.391156
3240,57.00,18.87,2023-04-29 10:20:03.896037
2559,57.00,18.82,2023-04-29 10:25:04.339800
1188,57.00,18.89,2023-04-29 10:30:03.796226
82,57.00,18.91,2023-04-29 10:35:04.220760
2093,57.00,18.91,2023-04-29 10:40:04.695100
777,57.00,18.93,2023-04-29 10:45:04.127547
2811,57.00,18.98,2023-04-29 10:50:04.555691
2173,57.00,18.96,2023-04-29 10:55:03.993710
1234,57.00,18.91,2023-04-29 11:00:04.418351
2587,57.00,18.89,2023-04-29 11:05:03.834867
2291,57.00,18.96,2023-04-29 11:10:04.299777
3877,57.00,18.91,2023-04-29 11:15:03.727849
2510,57.00,19.03,2023-04-29 11:20:04.208709
1183,57.00,18.98,2023-04-29 11:25:04.654979
442,57.00,19.00,2023-04-29 11:30:04.097972
2943,57.00,19.10,2023-04-29 11:35:04.507983
332,57.00,19.06,2023-04-29 11:40:03.969672
3719,57.00,19.03,2023-04-29 11:45:04.386519
3378,57.00,19.13,2023-04-29 11:50:03.840713
2287,57.00,19.08,2023-04-29 11:55:04.281262
2006,57.00,19.13,2023-04-29 12:00:03.719049
1731,57.00,19.10,2023-04-29 12:05:04.160150
708,57.00,19.14,2023-04-29 12:10:04.621604
4003,57.00,19.20,2023-04-29 12:15:04.053685
3978,57.00,19.08,2023-04-29 12:20:04.540851
206,57.00,19.13,2023-04-29 12:25:03.947849
855,57.00,19.18,2023-04-29 12:30:04.358966
491,57.00,19.10,2023-04-29 12:35:03.757683
1353,57.00,19.11,2023-04-29 12:40:04.210530
3491,57.00,19.24,2023-04-29 12:45:04.651418
3709,57.00,19.17,2023-04-29 12:50:04.076270
1239,57.00,19.18,2023-04-29 12:55:04.526824
2414,57.00,19.11,2023-04-29 13:00:03.977677
433,57.00,19.22,2023-04-29 13:05:04.432733
1308,57.00,19.25,2023-04-29 13:10:03.910541
1266,57.00,19.22,2023-04-29 13:15:04.325912
1902,57.00,19.29,2023-04-29 13:20:03.829641
2598,57.00,19.28,2023-04-29 13:25:04.266466
2260,57.00,19.25,2023-04-29 13:30:03.696906
2076,57.00,19.20,2023-04-29 13:35:04.140877
1922,57.00,19.29,2023-04-29 13:40:04.636645
120,57.00,19.29,2023-04-29 13:45:04.077187
2842,57.00,19.31,2023-04-29 13:50:04.512029
3981,57.00,19.27,2023-04-29 13:55:03.953683
2390,57.00,19.28,2023-04-29 14:00:04.378435
355,57.00,19.38,2023-04-29 14:05:03.803490
483,57.00,19.28,2023-04-29 14:10:04.354600
1531,57.00,19.25,2023-04-29 14:15:03.799417
2183,57.00,19.22,2023-04-29 14:20:04.276864
3260,57.00,19.32,2023-04-29 14:25:03.707390
3587,57.00,19.37,2023-04-29 14:30:04.086958
3264,56.00,19.27,2023-04-29 14:35:04.509158
2308,57.00,19.38,2023-04-29 14:40:03.961604
148,56.00,19.39,2023-04-29 14:45:04.394582
465,56.00,19.39,2023-04-29 14:50:03.816529
1878,56.00,19.38,2023-04-29 14:55:04.249516
2834,56.00,19.27,2023-04-29 15:00:04.677483
3029,56.00,19.34,2023-04-29 15:05:04.132617
778,56.00,19.34,2023-04-29 15:10:04.580527
3539,56.00,19.31,2023-04-29 15:15:04.048191
87,56.00,19.42,2023-04-29 15:20:04.557197
2206,56.00,19.34,2023-04-29 15:25:03.967074
2139,56.00,19.44,2023-04-29 15:30:04.396840
3364,56.00,19.44,2023-04-29 15:35:03.818398
782,56.00,19.45,2023-04-29 15:40:04.286106
1658,56.00,19.42,2023-04-29 15:45:03.722342
1801,56.00,19.46,2023-04-29 15:50:04.160387
2839,56.00,19.48,2023-04-29 15:55:04.597452
3957,56.00,19.39,2023-04-29 16:00:04.058971
637,56.00,19.46,2023-04-29 16:05:04.508832
3996,56.00,19.54,2023-04-29 16:10:03.958175
1396,56.00,19.42,2023-04-29 16:15:04.389277
919,56.00,19.49,2023-04-29 16:20:03.877839
1859,56.00,19.55,2023-04-29 16:25:04.349801
735,56.00,19.56,2023-04-29 16:30:03.784264
1143,56.00,19.61,2023-04-29 16:35:04.227589
1991,56.00,19.59,2023-04-29 16:40:03.719913
3263,56.00,19.62,2023-04-29 16:45:04.174441
3893,56.00,19.58,2023-04-29 16:50:04.627445
3392,56.00,19.61,2023-04-29 16:55:04.078578
2801,56.00,19.73,2023-04-29 17:00:04.536127
1544,56.00,19.68,2023-04-29 17:05:03.973319
2541,56.00,19.71,2023-04-29 17:10:04.448845
2784,56.00,19.75,2023-04-29 17:15:03.912301
169,56.00,19.75,2023-04-29 17:20:04.439773
2463,56.00,19.62,2023-04-29 17:25:03.863181
1286,56.00,19.78,2023-04-29 17:30:04.361904
3530,56.00,19.75,2023-04-29 17:35:03.859860
68,56.00,19.83,2023-04-29 17:40:04.378435
1113,56.00,19.89,2023-04-29 17:45:03.837765
3573,56.00,19.83,2023-04-29 17:50:04.280973
2591,56.00,19.95,2023-04-29 17:55:03.707652
2733,55.00,19.93,2023-04-29 18:00:04.162515
2990,55.00,19.90,2023-04-29 18:05:04.609243
1427,55.00,19.97,2023-04-29 18:10:04.108218
3506,55.00,19.97,2023-04-29 18:15:04.550222
1678,55.00,19.96,2023-04-29 18:20:04.015486
3214,55.00,19.92,2023-04-29 18:25:04.452123
