,humidity,temperature,timestamp
509,51.77,20.03,2023-05-03 11:00:00
510,51.9,20.19,2023-05-03 11:40:00
511,52.15,20.2,2023-05-03 11:50:00
512,52.76,20.27,2023-05-03 12:30:00
513,52.68,20.26,2023-05-03 12:50:00
514,52.71,20.26,2023-05-03 13:00:00
515,52.73,20.27,2023-05-03 13:10:00
516,52.39,20.43,2023-05-03 13:40:00
517,52.37,20.24,2023-05-03 13:50:00
518,52.3,20.34,2023-05-03 14:00:00
519,52.33,20.38,2023-05-03 14:20:00
520,52.27,20.36,2023-05-03 14:30:00
521,52.06,20.5,2023-05-03 14:50:00
522,51.78,20.4,2023-05-03 15:30:00
523,48.68,20.44,2023-05-03 16:00:00
524,48.15,20.52,2023-05-03 16:20:00
525,57.0,19.78,2023-05-03 16:30:00
526,47.03,20.57,2023-05-03 17:40:00
527,46.87,20.64,2023-05-03 17:50:00
528,46.55,20.67,2023-05-03 18:10:00
529,46.14,20.61,2023-05-03 18:30:00
530,46.02,20.57,2023-05-03 18:40:00
531,45.91,20.64,2023-05-03 18:50:00
532,45.81,20.64,2023-05-03 19:20:00
533,45.54,20.57,2023-05-03 19:40:00
534,45.45,20.52,2023-05-03 20:10:00
535,45.31,20.41,2023-05-03 20:20:00
536,45.42,20.37,2023-05-03 20:30:00
537,45.88,20.4,2023-05-03 21:20:00
538,46.41,20.27,2023-05-03 21:40:00
539,47.05,20.31,2023-05-03 22:00:00
540,48.9,20.36,2023-05-03 22:10:00
541,49.55,20.34,2023-05-03 22:20:00
542,49.02,20.09,2023-05-03 23:20:00
543,48.91,20.12,2023-05-03 23:30:00
544,48.98,20.05,2023-05-03 23:40:00
545,48.88,20.06,2023-05-03 23:50:00
546,48.85,20.01,2023-05-04 00:20:00
547,48.64,19.79,2023-05-04 00:50:00
548,48.74,19.87,2023-05-04 01:20:00
549,48.84,19.75,2023-05-04 02:00:00
550,48.78,19.69,2023-05-04 02:10:00
551,48.97,19.72,2023-05-04 02:20:00
552,49.1,19.59,2023-05-04 02:40:00
553,49.55,19.56,2023-05-04 03:00:00
554,49.68,19.59,2023-05-04 03:10:00
555,49.62,19.59,2023-05-04 04:00:00
556,49.74,19.51,2023-05-04 04:10:00
557,49.78,19.51,2023-05-04 04:20:00
558,49.8,19.48,2023-05-04 04:30:00
559,50.18,19.46,2023-05-04 04:50:00
560,50.13,19.42,2023-05-04 05:00:00
561,50.19,19.31,2023-05-04 05:10:00
562,50.24,19.35,2023-05-04 05:20:00
563,50.39,19.38,2023-05-04 05:40:00
564,50.57,19.42,2023-05-04 05:50:00
565,50.54,19.37,2023-05-04 06:00:00
566,50.4,19.32,2023-05-04 06:10:00
567,50.47,19.39,2023-05-04 06:20:00
568,50.77,19.27,2023-05-04 06:50:00
569,50.74,19.15,2023-05-04 07:00:00
570,51.11,19.22,2023-05-04 07:40:00
