,humidity,temperature,timestamp
815,55.0,20.75,2023-05-02 08:10:00
816,55.0,20.67,2023-05-02 08:20:00
817,55.0,20.71,2023-05-02 08:30:00
818,55.0,20.7,2023-05-02 08:40:00
819,55.0,20.71,2023-05-02 09:00:00
820,55.0,20.74,2023-05-02 09:10:00
821,55.0,20.59,2023-05-02 09:20:00
822,55.0,20.61,2023-05-02 09:30:00
823,55.0,20.63,2023-05-02 09:40:00
824,55.0,20.65,2023-05-02 09:50:00
825,55.0,20.64,2023-05-02 10:00:00
826,54.0,20.58,2023-05-02 10:10:00
827,54.0,20.73,2023-05-02 10:20:00
828,54.0,20.64,2023-05-02 10:30:00
829,55.0,20.77,2023-05-02 10:40:00
830,54.0,20.68,2023-05-02 10:50:00
831,55.0,20.73,2023-05-02 11:00:00
832,54.0,20.7,2023-05-02 11:20:00
833,54.0,20.73,2023-05-02 11:30:00
834,54.0,20.65,2023-05-02 11:40:00
835,54.0,20.65,2023-05-02 11:50:00
836,54.0,20.65,2023-05-02 12:00:00
837,54.0,20.68,2023-05-02 12:10:00
838,54.0,20.75,2023-05-02 12:20:00
839,54.0,20.82,2023-05-02 12:30:00
840,54.0,20.82,2023-05-02 12:40:00
841,54.0,20.74,2023-05-02 12:50:00
842,54.0,20.79,2023-05-02 13:00:00
843,54.0,20.78,2023-05-02 13:10:00
844,54.0,20.85,2023-05-02 13:20:00
845,54.0,20.85,2023-05-02 13:30:00
846,54.0,20.82,2023-05-02 13:40:00
847,54.0,20.75,2023-05-02 13:50:00
848,54.0,20.94,2023-05-02 14:00:00
849,54.0,20.87,2023-05-02 14:10:00
850,54.0,20.82,2023-05-02 14:20:00
851,54.0,20.82,2023-05-02 14:30:00
852,54.0,20.94,2023-05-02 14:40:00
853,54.0,20.95,2023-05-02 14:50:00
854,53.0,20.92,2023-05-02 15:00:00
855,53.0,20.89,2023-05-02 15:10:00
856,53.0,20.99,2023-05-02 15:20:00
857,53.0,20.94,2023-05-02 15:30:00
858,53.56,20.92,2023-05-02 15:40:00
859,53.33,20.96,2023-05-02 15:50:00
860,53.24,20.92,2023-05-02 16:00:00
861,53.13,20.99,2023-05-02 16:10:00
862,53.15,20.99,2023-05-02 16:20:00
863,53.1,20.95,2023-05-02 16:30:00
864,52.98,20.94,2023-05-02 16:40:00
865,52.74,20.96,2023-05-02 16:50:00
866,52.58,20.94,2023-05-02 17:00:00
867,52.56,20.98,2023-05-02 17:10:00
868,52.61,21.02,2023-05-02 17:20:00
869,52.47,21.15,2023-05-02 17:30:00
870,52.37,21.13,2023-05-02 17:40:00
871,52.17,21.06,2023-05-02 17:50:00
872,52.15,21.18,2023-05-02 18:00:00
873,52.34,21.08,2023-05-02 18:10:00
874,52.41,21.18,2023-05-02 18:20:00
875,52.2,21.09,2023-05-02 18:30:00
876,51.89,21.03,2023-05-02 18:40:00
877,49.64,21.1,2023-05-02 18:50:00
878,48.21,21.05,2023-05-02 19:00:00
879,47.02,21.09,2023-05-02 19:10:00
880,44.53,20.88,2023-05-02 19:20:00
